"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44199","test_given_application_is_deployed_when_scale_down_then_status_is_active","tests.integration","Mon Jul 21 13:23:45 GMT 2025","passed","Mon Jul 21 13:24:30 GMT 2025","","test_core","",""
"","138218","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","tests.integration","Mon Jul 21 13:24:30 GMT 2025","passed","Mon Jul 21 13:26:48 GMT 2025","","test_core","",""
"","17104","test_given_vault_pki_relation_and_matching_common_name_configured_when_integrate_then_cert_is_provided","tests.integration","Mon Jul 21 13:22:15 GMT 2025","passed","Mon Jul 21 13:22:32 GMT 2025","","test_pki","",""
"","935720","test_given_latest_stable_revision_in_track_when_refresh_then_status_is_active","tests.integration","Mon Jul 21 13:19:33 GMT 2025","passed","Mon Jul 21 13:35:08 GMT 2025","","test_upgrade_latest","",""
"","32601","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","tests.integration","Mon Jul 21 13:26:41 GMT 2025","passed","Mon Jul 21 13:27:14 GMT 2025","","test_autounseal","",""
"","74858","test_given_application_is_deployed_when_scale_up_then_status_is_active","tests.integration","Mon Jul 21 13:22:30 GMT 2025","passed","Mon Jul 21 13:23:45 GMT 2025","","test_core","",""
"","32441","test_given_tls_certificates_pki_relation_when_integrate_then_status_is_active","tests.integration","Mon Jul 21 13:21:39 GMT 2025","passed","Mon Jul 21 13:22:12 GMT 2025","","test_pki","",""
"","2806","test_given_vault_pki_relation_and_unmatching_common_name_when_integrate_then_cert_not_provided","tests.integration","Mon Jul 21 13:22:12 GMT 2025","passed","Mon Jul 21 13:22:15 GMT 2025","","test_pki","",""
"","92292","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","tests.integration","Mon Jul 21 13:26:48 GMT 2025","passed","Mon Jul 21 13:28:20 GMT 2025","","test_core","",""
"","70254","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","tests.integration","Mon Jul 21 13:21:20 GMT 2025","passed","Mon Jul 21 13:22:30 GMT 2025","","test_core","",""
"","30658","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","tests.integration","Mon Jul 21 13:20:50 GMT 2025","passed","Mon Jul 21 13:21:20 GMT 2025","","test_core","",""
"","38535","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","tests.integration","Mon Jul 21 13:22:14 GMT 2025","passed","Mon Jul 21 13:22:53 GMT 2025","","test_kv","",""
"","61364","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","tests.integration","Mon Jul 21 13:22:36 GMT 2025","passed","Mon Jul 21 13:23:37 GMT 2025","","test_autounseal","",""
"","80090","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","tests.integration","Mon Jul 21 13:23:35 GMT 2025","passed","Mon Jul 21 13:24:55 GMT 2025","","test_kv","",""
"","2056","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","tests.integration","Mon Jul 21 13:22:53 GMT 2025","passed","Mon Jul 21 13:22:55 GMT 2025","","test_kv","",""
"","39750","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","tests.integration","Mon Jul 21 13:22:55 GMT 2025","passed","Mon Jul 21 13:23:35 GMT 2025","","test_kv","",""
"","77196","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","tests.integration","Mon Jul 21 13:25:24 GMT 2025","passed","Mon Jul 21 13:26:41 GMT 2025","","test_autounseal","",""
"","107004","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","tests.integration","Mon Jul 21 13:23:37 GMT 2025","passed","Mon Jul 21 13:25:24 GMT 2025","","test_autounseal","",""
"","30520","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","tests.integration","Mon Jul 21 13:21:58 GMT 2025","passed","Mon Jul 21 13:22:29 GMT 2025","","test_acme","",""
